,Country,Wins,Gold,Silver,Bronze,Loss
717,Acipactli,0,0,0,0,1
718,Belgium-4,0,0,0,0,2
719,Pegaso,0,0,0,0,2
720,Girl Pat,0,0,0,0,2
721,Fada,0,0,0,0,1
722,Bu III,0,0,0,0,1
723,Lerina,6,3,3,0,3
724,"Bagatelle Polo Club, Paris",0,0,0,0,1
725,Bem II,0,0,0,0,1
726,St. Margrite,0,0,0,0,1
727,Hollandia,0,0,0,0,2
728,Aphrodite,0,0,0,0,1
729,Bonzo,0,0,0,0,1
730,Socit Nautique de la Basse Seine-1,2,2,0,0,4
731,Socit Nautique de la Basse Seine-2,0,0,0,0,2
732,Univ. of Brussels,0,0,0,0,1
733,"Concordia Turnverein, St Louis",0,0,0,0,1
734,Rowing Club Castillon-3,0,0,0,0,1
735,Frip IV,0,0,0,0,1
736,Mad Dog,0,0,0,0,1
737,Hb-24,0,0,0,0,1
738,Hb-20,0,0,0,0,1
739,"South St Louis Turnverein, St Louis",0,0,0,0,1
740,Century Boat Club-1,0,0,0,0,1
741,Unique,0,0,0,0,1
742,Pan-Hellenic Athletic Club,0,0,0,0,1
743,"Phalainis ton Thorichtou ""Hydra""-2",0,0,0,0,2
744,Viking,0,0,0,0,1
745,Silja,0,0,0,0,2
746,Bermudian,0,0,0,0,1
747,Dresden,0,0,0,0,1
748,United States/Great Britain,0,0,0,0,1
749,Mignon-29,0,0,0,0,1
750,Mignon-3,1,1,0,0,1
751,Favorite-17,0,0,0,0,1
752,Favorite-1,0,0,0,0,2
753,St. Louis Amateur Athletic Association,0,0,0,0,1
754,Naiad,0,0,0,0,1
755,Pakaria,0,0,0,0,1
756,Ireland-3,0,0,0,0,1
757,Serbia-2,0,0,0,0,1
758,United States-14,0,0,0,0,1
759,Oxalis,0,0,0,0,1
760,Gitana-21,0,0,0,0,2
761,Gitana-2,2,2,0,0,2
762,Joy,0,0,0,0,1
763,Thalatta,0,0,0,0,2
764,Trintel II,0,0,0,0,1
765,"Central Turnverein, Chicago",0,0,0,0,1
766,Galopin-20,0,0,0,0,1
767,Galopin-9,0,0,0,0,2
768,France-4,0,0,0,0,1
769,Berliner Ruderclub,0,0,0,0,1
770,Rhythm,0,0,0,0,1
771,"Turnverein Vorwrts, Chicago",0,0,0,0,1
772,Guanahani,0,0,0,0,1
773,Unknown,0,0,0,0,1
774,Spirit III,0,0,0,0,1
775,Pannonia RC/National RC,0,0,0,0,1
776,Bella,0,0,0,0,1
777,May-Be 1960,0,0,0,0,1
778,May Be,0,0,0,0,1
779,Inga-Lill XXXXIII,0,0,0,0,1
780,Mexico-1,0,0,0,0,1
