,Country,Wins,Gold,Silver,Bronze,Loss
175,Indonesia-1,1,1,0,0,1
176,Germany-1,11,5,3,3,8
177,South Yemen,0,0,0,0,1
178,South Korea,52,21,19,12,390
179,Lucky Girl-1,0,0,0,0,1
180,Mutafo,0,0,0,0,1
181,Sweden-2,1,1,0,0,12
182,Sweden-1,0,0,0,0,16
183,Thailand,4,2,1,1,129
184,Italy-2,3,3,0,0,35
185,Yeoman VII,0,0,0,0,1
186,Yeoman XII,0,0,0,0,2
187,Bermuda,0,0,0,0,61
188,Australasia,10,7,2,1,12
189,Union des Socits Franais de Sports Athletiques,4,4,0,0,4
190,Serbia and Montenegro,12,6,4,2,38
191,Sierra Leone,0,0,0,0,37
192,Bissbi,0,0,0,0,2
193,Papua New Guinea,0,0,0,0,26
194,Greece-3,0,0,0,0,3
195,Yemen,0,0,0,0,22
196,Individual Olympic Athletes,3,2,1,0,17
197,Oman,0,0,0,0,66
198,Fiji,2,2,0,0,48
199,Vanuatu,0,0,0,0,3
200,France-3,3,2,1,0,3
201,Martha-27,0,0,0,0,2
202,Martha-1,2,2,0,0,2
203,Moldova,1,1,0,0,70
204,Canada-2,1,1,0,0,37
205,Canada-1,11,7,3,1,29
206,Yugoslavia,87,39,29,19,434
207,Bahamas,10,4,4,2,70
208,Guatemala,1,1,0,0,108
209,Burevestnik,0,0,0,0,2
210,Druzhba,0,0,0,0,3
211,Soviet Union-2,3,2,1,0,8
212,Soviet Union-1,8,4,4,0,5
213,Olen,0,0,0,0,1
214,Serbia,17,8,7,2,40
215,British Virgin Islands,0,0,0,0,10
216,Mozambique,0,0,0,0,22
217,Heatherbell,0,0,0,0,1
218,Central African Republic,0,0,0,0,19
219,Madagascar,0,0,0,0,13
220,Malaya,0,0,0,0,15
221,Socit Nautique de Bayonne,0,0,0,0,8
222,Bosnia and Herzegovina,0,0,0,0,29
223,Guam,0,0,0,0,31
224,Brazil-1,2,1,1,0,5
225,Cayman Islands,0,0,0,0,24
226,Cupidon Viking,0,0,0,0,2
227,Damoiselle,0,0,0,0,2
228,Slovakia,3,2,1,0,166
229,USFSA,0,0,0,0,5
230,The Cloud,0,0,0,0,2
231,Galerna,0,0,0,0,3
232,Heira II,0,0,0,0,2
233,Nykjbings paa Falster,0,0,0,0,1
234,Barbados,0,0,0,0,72
235,Ireland-2,2,2,0,0,3
236,Spain-2,0,0,0,0,7
237,Guinea Bissau,0,0,0,0,9
238,Mohawk Indians-2,0,0,0,0,3
239,Tornado,0,0,0,0,2
240,Elsie,0,0,0,0,1
241,Roma,0,0,0,0,4
242,Tajamar,0,0,0,0,1
243,Spain-1,0,0,0,0,7
244,"Lemzos Thorichton ""Spetsai""-4",0,0,0,0,2
245,Norway-2,0,0,0,0,3
